C,組み込み,マイコン,ロボット,Linux,OS,競技,,,,,,
C#,ゲーム,アプリ,Kinect,3D,Unity,,,,,,,
C++,競技,ゲーム,ロボット,AI,組み込み,IoT,,,,,,
Elixir,Web,サーバー,バック,,,,,,,,,
Go,ツール,アプリ,サーバー,バック,,,,,,,,
Java,Web,Node,アプリ,Andoroid,サーバー,バック,ゲーム,,,,,
Javascript,Web,フロント,バック,Node,デザイン,GUI,,,,,,
Kotlin,Web,Node,アプリ,Andoroid,サーバー,バック,ゲーム,,,,,
Objective-C,iPhone,iOS,,,,,,,,,,
PHP,データ,WordPress,バック,,,,,,,,,
Python,人工知能,画像,AI,自然,Web,バック,サーバー,データ,統計,サイエンス,スクレイピング,分析
R,統計,データ,確率,検定,,,,,,,,
Ruby,Web,バック,サーバー,,,,,,,,,
Rust,バック,サーバー,,,,,,,,,,
Swift,iPhone,iOS,アプリ,ゲーム,,,,,,,,
HTML,Web,フロント,タグ,ホームページ,,,,,,,,
CSS,デザイン,ホームページ,,,,,,,,,,
